species	12S_r_RNA
Abramis brama	5
Abramis brama orientalis	1
Acipenser sturio	10
Alburnoides bipunctatus	1
Alburnus alburnus	6
Alosa alosa	2
Alosa fallax	3
Ambloplites rupestris	2
Ameiurus melas	5
Ameiurus nebulosus	6
Anguilla anguilla	63
Barbatula barbatula	7
Barbus barbus	5
Blicca bjoerkna	5
Carassius auratus	68
Carassius auratus 'high back crucian carp'	1
Carassius auratus auratus	17
Carassius auratus buergeri	1
Carassius auratus grandoculis	1
Carassius auratus langsdorfii	4
Carassius auratus ssp. 'Kinbuna'	1
Carassius auratus ssp. 'Pingxiang'	2
Carassius carassius	3
Chondrostoma nasus	2
Cobitis taenia	5
Coregonus albula	1
Coregonus autumnalis	2
Coregonus lavaretus	80
Coregonus oxyrinchus	23
Cottus gobio	7
Ctenopharyngodon idella	10
Cyprinus carpio	28
Cyprinus carpio 'Ying hybrid'	1
Cyprinus carpio 'color'	2
Cyprinus carpio 'koi'	1
Cyprinus carpio 'longfin'	1
Cyprinus carpio 'wananensis'	1
Cyprinus carpio 'wuyuanensis'	2
Cyprinus carpio 'xingguonensis'	3
Cyprinus carpio carpio	4
Cyprinus carpio haematopterus	4
Cyprinus carpio nudus	1
Esox lucius	14
Gasterosteus aculeatus	12
Gasterosteus aculeatus aculeatus	1
Gasterosteus aculeatus williamsoni	2
Gobio gobio	5
Gymnocephalus cernua	6
Hypophthalmichthys molitrix	101
Hypophthalmichthys nobilis	46
Lampetra fluviatilis	2
Lampetra planeri	1
Lepomis gibbosus	9
Leucaspius delineatus	3
Leuciscus idus	3
Leuciscus leuciscus	4
Lota lota	10
Micropterus salmoides	9
Micropterus salmoides salmoides	2
Misgurnus bipartitus	3
Misgurnus fossilis	2
Neogobius fluviatilis	1
Neogobius melanostomus	1
Oncorhynchus gorbuscha	6
Oncorhynchus mykiss	80
Osmerus eperlanus	5
Perca fluviatilis	21
Petromyzon marinus	1
Phoxinus phoxinus	6
Phoxinus phoxinus tumensis	1
Pimephales promelas	19
Platichthys flesus	6
Pomatoschistus minutus	6
Ponticola kessleri	5
Pseudorasbora parva	12
Pungitius pungitius	20
Rhodeus amarus	6
Rhodeus sericeus	4
Rutilus rutilus	11
Salmo salar	32
Salmo trutta	21
Salmo trutta caspius	1
Salmo trutta fario	5
Salmo trutta macrostigma	1
Salmo trutta trutta	2
Salvelinus alpinus	18
Salvelinus fontinalis	4
Sander lucioperca	8
Scardinius erythrophthalmus	5
Silurus glanis	3
Solea solea	7
Squalius cephalus	6
Thymallus thymallus	6
Tinca tinca	8
Umbra pygmaea	3
