species	CytB
Abramis brama	5
Abramis brama orientalis	1
Acipenser sturio	20
Alburnoides bipunctatus	86
Alburnoides bipunctatus rossicus	11
Alburnoides bipunctatus strymonicus	8
Alburnoides bipunctatus tzanevi	3
Alburnus alburnus	11
Alosa alosa	169
Alosa fallax	454
Ambloplites rupestris	5
Ameiurus melas	4
Ameiurus nebulosus	5
Anguilla anguilla	101
Aspius aspius	3
Barbatula barbatula	8
Barbus barbus	41
Barbus barbus barbus	8
Blicca bjoerkna	4
Carassius auratus	349
Carassius auratus 'high back crucian carp'	1
Carassius auratus auratus	24
Carassius auratus grandoculis	29
Carassius auratus langsdorfii	17
Carassius auratus ssp. 'Pingxiang'	2
Carassius carassius	33
Chondrostoma nasus	2
Chondrostoma nasus nasus	30
Cobitis taenia	9
Coregonus albula	3
Coregonus autumnalis	6
Coregonus autumnalis autumnalis	1
Coregonus lavaretus	157
Coregonus oxyrinchus	23
Cottus gobio	1
Ctenopharyngodon idella	69
Cyprinus carpio	56
Cyprinus carpio 'Songpu mirror carp'	2
Cyprinus carpio 'color'	2
Cyprinus carpio 'koi'	1
Cyprinus carpio 'longfin'	1
Cyprinus carpio 'red mirror carp'	2
Cyprinus carpio 'wananensis'	1
Cyprinus carpio 'wuyuanensis'	2
Cyprinus carpio 'xingguonensis'	2
Cyprinus carpio carpio	4
Cyprinus carpio haematopterus	3
Cyprinus carpio nudus	1
Esox lucius	283
Gasterosteus aculeatus	323
Gasterosteus aculeatus williamsoni	1
Gobio gobio	42
Gymnocephalus cernua	5
Hypophthalmichthys molitrix	35
Hypophthalmichthys nobilis	38
Lampetra fluviatilis	28
Lampetra planeri	27
Lepomis gibbosus	10
Leucaspius delineatus	4
Leuciscus idus	8
Leuciscus leuciscus	153
Lota lota	84
Micropterus salmoides	31
Micropterus salmoides salmoides	3
Misgurnus fossilis	2
Neogobius melanostomus	23
Oncorhynchus gorbuscha	46
Oncorhynchus mykiss	62
Osmerus eperlanus	16
Perca fluviatilis	34
Petromyzon marinus	1
Phoxinus phoxinus	1
Phoxinus phoxinus tumensis	3
Pimephales promelas	10
Platichthys flesus	44
Ponticola kessleri	9
Proterorhinus semilunaris	51
Pseudorasbora parva	963
Pungitius pungitius	122
Pungitius pungitius pungitius	1
Rhodeus sericeus	5
Rutilus rutilus	45
Salmo salar	43
Salmo trutta	151
Salmo trutta caspius	1
Salmo trutta fario	6
Salmo trutta trutta	6
Salvelinus alpinus	29
Salvelinus fontinalis	24
Sander lucioperca	29
Scardinius erythrophthalmus	17
Silurus glanis	4
Squalius cephalus	136
Squalius cephalus cabeda	1
Thymallus thymallus	4
Tinca tinca	30
Umbra pygmaea	1
Vimba vimba	15
